Symbolic Onset Modification Parameters, , , ,Symbolic Onset Interval, ,Tempo Modification Parameters, ,Symbolic Onset Interval,
0.0,0.0,0.0,0.0,0.0,0.396875,-1.7111959034428463,1.0,0.0,0.396875
-18.33907131061845,-19.909830987191295,-11.127943364221021,9.538801643342618,0.396875,0.447895,13.311071622479083,-4.961962424350265,0.396875,0.447895
0.0,0.0,0.0,0.0,0.447895,0.665625,-3.7783330145798315,2.692296465565237,0.447895,0.665625
-3.288449297432281,-2.385895456673675,-0.41410441302665435,3.3125202652084536,0.665625,0.805749,5.870917524938359,-3.7304859248015587,0.665625,0.805749
0.0,0.0,0.0,0.0,0.805749,1.59375,0.5557802657494936,0.5521806066526105,0.805749,1.59375
0.23708420998462088,-0.1763091352351969,-0.2926405358179613,-0.285533332892359,1.59375,1.785938,-2.278786423662584,5.069771267903109,1.59375,1.785938
0.0,0.0,0.0,0.0,1.785938,2.675,-0.10339517354561654,1.1846573694517124,1.785938,2.675
0.0876607474886111,-0.5386777638656532,0.5678336774312249,0.7476805949687223,2.675,3.20625,0.5067483074679839,-0.44747644225966876,2.675,3.20625
0.08823098618735196,-0.5489016651985004,0.6158082164340958,0.6801690528743519,3.20625,3.984375,-0.22783655397211838,1.907786269732659,3.20625,3.984375
0.0,0.0,0.0,0.0,3.984375,4.6625,-0.4522901606277902,2.8020936087513517,3.984375,4.6625
-0.13381780656833342,0.5802084506324069,0.25098782434687167,0.08013060942048571,4.6625,4.81175,2.0550034517636138,-8.888162859023568,4.6625,4.81175
0.0,0.0,0.0,0.0,4.81175,5.323438,-0.751941944097659,4.618156649511911,4.81175,5.323438
-0.06880643204617874,0.351683228347187,0.13105215034240347,0.03620179666640487,5.323438,5.610312,1.341214852135234,-6.52463377951253,5.323438,5.610312
0.0,0.0,0.0,0.0,5.610312,5.715625,178.72207564304108,-1001.6866056450611,5.610312,5.715625
0.002525254340976616,-0.016505821268927433,-0.005418756534556848,-0.0013260201920050933,5.715625,6.69625,-19.19363462301649,129.52537584437417,5.715625,6.69625
0.0,0.0,0.0,0.0,6.69625,7.325,-0.6803321142541736,5.55567392007451,6.69625,7.325
-0.05454954430078898,0.393415862368071,0.10635635634844777,0.02143417514323524,7.325,7.614062,-8.604885450658628,63.60302710923714,7.325,7.614062
