Symbolic Onset Modification Parameters, , , ,Symbolic Onset Interval, ,Tempo Modification Parameters, ,Symbolic Onset Interval,
0.0,0.0,0.0,0.0,0.0,1.968661,0.0,1.0,0.0,1.16151
0.006709353164046625,-0.032982558095377146,0.036790740961378604,0.04522458455446898,1.968661,4.118661,-0.05991245890392895,1.0695889201415025,1.16151,1.968661
0.3195714900395811,-2.4325724831144226,3.881398531707159,3.057176467868374,4.118661,4.493661,0.010366630558640703,0.9312332176010307,1.968661,3.237161
-0.01195031314364637,0.3585683887307414,-1.1202346741819462,-0.7462199607850883,4.493661,4.718661,-0.08184674417198942,1.229742757957412,3.237161,4.118661
-0.191679600942472,1.9589638192926477,-4.218253237973377,-2.8785614363951098,4.718661,5.043661,-1.7008941116403107,7.898050007501856,4.118661,4.339911
0.0,0.0,0.0,0.0,5.043661,5.4,-1.470559134798541,6.898416707821514,4.339911,4.493661
0.035880659322738984,-0.37741337799222363,0.8941208531712658,0.48720935553263534,5.4,6.1875,-0.7477986537513186,3.650576121798372,4.493661,4.626411
0.018961312866566205,-0.17611162976099567,0.3462911869771916,0.1780504337729442,6.1875,6.5625,-0.8013352964805017,3.898258634623735,4.626411,4.718661
0.0,0.0,0.0,0.0,6.5625,6.7125,0.26712342960367835,-1.1434358862593685,4.718661,4.910411
0.009765574319601237,-0.13049288391527913,0.40451647113819705,0.165793452173933,6.7125,8.1875,6.2420267105121106,-30.482666680768222,4.910411,5.043661
0.003993568717065191,-0.038137869354922,0.052985000037979416,0.02089178808777815,8.1875,8.45,2.006681646487633E-14,0.9999999999998987,5.043661,5.253901
0.0,0.0,0.0,0.0,8.45,11.45,2.5804857037554414,-12.557616419446413,5.253901,5.4
0.0022709296390186324,-0.02636685213679921,-0.004507361647094882,-5.766087196356563E-4,11.45,12.05,-0.7523028702508937,5.439441880187799,5.4,5.864625
,,,,,,-0.636907097542445,4.762688946667512,5.864625,6.1875
,,,,,,-1.0572495346683923,7.363557776384311,6.1875,6.40875
,,,,,,2.6802613263202866,-16.589214953976885,6.40875,6.5625
,,,,,,6.523344325481161E-14,0.9999999999995661,6.5625,6.651
,,,,,,44.345898004438965,-293.94456762752355,6.651,6.7125
,,,,,,-3.1175263269906015,24.653668197197437,6.7125,7.58275
,,,,,,-0.23776509679861357,2.8171587289591384,7.58275,8.1875
,,,,,,-2.076771387656867,17.874022735361088,8.1875,8.342375
,,,,,,4.19217625777351,-34.42388937818615,8.342375,8.45
,,,,,,0.0,1.0,8.45,10.22
,,,,,,0.07194762213108839,0.26469530182027656,10.22,11.45
,,,,,,-0.3079389985461025,4.614397108574112,11.45,11.804
,,,,,,-1.005456555256325,12.84789434798158,11.804,12.05
